Lactobacillus fermentum	dextran	3
Escherichia coli	tea extract	3
[Clostridium] sordellii	glycine	3
Bacteroides thetaiotaomicron	cellulose	3
Proteobacteria	biotin	3
Lactobacillus sakei	agar	3
Streptococcus salivarius	trypsin	3
Staphylococcus aureus	Nisin	3
Methanobacteriales	hydrogen	3
Bacillus	lipase	3
Enterococcus hirae	agar	3
Bifidobacterium	hydrogen	3
Rothia aeria	chymotrypsin	3
Bacteroides	glycine	3
Bacillus pumilus	agar	3
Pseudomonas putida	ethanol	3
Porphyromonas	agar	3
Bacteroides	trypsin	2
Treponema caldarium	cellulose	2
Lactobacillus	dextran	2
Escherichia coli	benzoic	2
Pediococcus pentosaceus	pectin	2
Ruminococcaceae	nisin	2
Bacteroidia	riboflavin	2
Firmicutes	xylitol	2
Bacillus	xylanase	2
Melissococcus plutonius	agar	2
Lactobacillus plantarum	chitosan	2
Zymomonas mobilis	ethanol	2
Clostridium acetobutylicum	cellulose	2
Parabacteroides distasonis	hydrogen	2
Bacteroides fragilis	N-acetylglucosamine	2
Propionibacterium avidum	lipase	2
Catenuloplanes crispus	carrageenan	2
Campylobacter coli	Propionic	2
Spirochaetales	silver	2
Synechococcus	nitrogen	2
Clostridia	hydrogen	2
Streptococcus salivarius	nitrogen	2
Francisella philomiragia	agar	2
Helicobacter pylori	dextran	2
Bifidobacterium longum	acetic	2
Lachnoclostridium phytofermentans	cellulase	2
Methanoculleus marisnigri	hydrogen	2
Lactobacillus acidophilus	acetic	2
Lactobacillus delbrueckii	lactic	2
Salmonella enterica subsp. enterica serovar Typhimurium	peroxidase	2
Staphylococcus aureus	cellulose	2
Lactobacillus plantarum	Chitosan	2
Methanopyrus kandleri	hydrogen	2
Pseudomonas taiwanensis	hydrogen	2
Prevotella	nitrogen	2
Aliivibrio fischeri	cellulose	2
Actinomycetales	glycine	2
Euryarchaeota	hydrogen	2
Lactobacillus	peroxidase	2
Streptococcus agalactiae	agar	2
Bacillus simplex	methanol	2
Lactobacillus casei	cellulose	2
Prevotella	Mannitol	2
Alphaproteobacteria	nitrogen	2
Dechloromonas	nitrous oxide	2
Acinetobacter	peroxidase	2
Escherichia coli	methanol	2
Ruminococcus flavefaciens	hydrogen	2
Methanosarcinales	cellulose	2
Lactobacillus	gold	2
Bacteroides	lactic	2
Prevotella ruminicola	cellulose	2
[Caldibacillus] cellulovorans	cellulose	2
Lactobacillus acidophilus	pectin	2
Prevotella	dextran	2
Bacteroides ovatus	pectin	2
Escherichia coli	sodium nitrate	2
Francisella	agar	2
Bifidobacterium bifidum	agar	2
Methylobacterium extorquens	methanol	2
Xanthomonadales	methanol	2
Acinetobacter	cellulase	2
Succinivibrio	cellulose	2
Escherichia coli	pepsin	2
Rhizobiales	cellulase	2
Elizabethkingia anophelis	agar	2
Acidovorax	nitrous oxide	2
Desulfovibrio	propionic	2
Enterococcus	hydrogen	2
Isoptericola variabilis	pectinase	2
Thermotoga neapolitana	hydrogen	2
Burkholderia	methanol	2
Lactobacillus crispatus	lactic	2
Syntrophobacteraceae	cellulose	2
Bifidobacterium	peroxidase	2
Lentisphaerae	nitrogen	2
Mycobacterium smegmatis	agar	2
Fusobacterium nucleatum	agar	2
Candidatus Blochmannia floridanus	nitrogen	2
Agathobacter rectalis	glycine	2
Escherichia coli	cellulase	2
Lactobacillus fermentum	lactic	2
Dickeya chrysanthemi	pectin	2
Rhodobacter	nitrogen	2
Shigella flexneri	agar	2
Porphyromonas gingivalis	silver	2
Porphyromonadaceae	propionic	2
Xanthomonas campestris	xanthan	2
