group;word
Fast_Foods;papa john's 14" pepperoni pizza
Fast_Foods;papa john's 14" the works pizza
Fast_Foods;little caesars 14" original round cheese pizza
Fast_Foods;little caesars 14" original round pepperoni pizza
Fast_Foods;little caesars 14" original round meat and vegetable pizza
Fast_Foods;little caesars 14" cheese pizza
Fast_Foods;little caesars 14" pepperoni pizza
Fast_Foods;pizza hut 14" cheese pizza
Fast_Foods;pizza hut 14" pepperoni pizza
Fast_Foods;pizza hut 14" super supreme pizza
Fast_Foods;mcdonald's bacon ranch salad with crispy chicken
Fast_Foods;light ice cream
Fast_Foods;popeyes
Fast_Foods;kfc
Fast_Foods;yogurt parfait
Fast_Foods;digiorno pizza
Fast_Foods;domino's 14" sausage pizza
Fast_Foods;pizza hut 14" sausage pizza
Fast_Foods;kashi pizza
Fast_Foods;wend'ys
Fast_Foods;morningstar farms pizza
Fast_Foods;pizza hut
Fast_Foods;arby's
Fast_Foods;fast foods  biscuit  w/ egg
Fast_Foods;breakfast items
Fast_Foods;ft fds
Fast_Foods;grilled chick
Fast_Foods;crispy chick
Fats_and_Oils;fat
Fats_and_Oils;lard
Fats_and_Oils;salad dressing
Fats_and_Oils;sandwich spread
Fats_and_Oils;shortening
Fats_and_Oils;oil
Fats_and_Oils;margarine
Fats_and_Oils;margarine-like
Fats_and_Oils;vegetable oil
Fats_and_Oils;shortening bread
Fats_and_Oils;shortening cake mix
Fats_and_Oils;shortening industrial
Fats_and_Oils;shortening frying (heavy duty)
Fats_and_Oils;shortening confectionery
Fats_and_Oils;shortening household soybean (hydrogenated) and palm
Fats_and_Oils;fish oil
Fats_and_Oils;butter
Fats_and_Oils;meat drippings (lard
Fats_and_Oils;animal fat
Fats_and_Oils;margarine-like spread with yogurt
Fats_and_Oils;margarine spread
Fats_and_Oils;margarine-like shortening
Fats_and_Oils;usda commodity food
Fats_and_Oils;margarine-like spread
Fats_and_Oils;margarine-like vegetable-oil spread
Fats_and_Oils;dressing
Fats_and_Oils;mayonnaise
Fats_and_Oils;creamy dressing
Fats_and_Oils;vegetable oil-butter spread
Fats_and_Oils;butter replacement
Fats_and_Oils;mayonnaise dressing
Fats_and_Oils;veg oil sprd
Fats_and_Oils;veg-oil sprd
Finfish_and_Shellfish_Products;fish
Finfish_and_Shellfish_Products;crustaceans
Finfish_and_Shellfish_Products;mollusks
Finfish_and_Shellfish_Products;usda commodity
Finfish_and_Shellfish_Products;salmon
Finfish_and_Shellfish_Products;jellyfish
Finfish_and_Shellfish_Products;frog legs
Finfish_and_Shellfish_Products;turtle
Finfish_and_Shellfish_Products;anchovy
Finfish_and_Shellfish_Products;bass
Finfish_and_Shellfish_Products;bluefish
Finfish_and_Shellfish_Products;burbot
Finfish_and_Shellfish_Products;butterfish
Finfish_and_Shellfish_Products;carp
Finfish_and_Shellfish_Products;catfish
Finfish_and_Shellfish_Products;caviar
Finfish_and_Shellfish_Products;cisco
Finfish_and_Shellfish_Products;cod
Finfish_and_Shellfish_Products;croaker
Finfish_and_Shellfish_Products;cusk
Finfish_and_Shellfish_Products;drum
Finfish_and_Shellfish_Products;eel
Finfish_and_Shellfish_Products;flatfish (flounder&sole sp)
Finfish_and_Shellfish_Products;gefiltefish
Finfish_and_Shellfish_Products;grouper
Finfish_and_Shellfish_Products;haddock
Finfish_and_Shellfish_Products;halibut
Finfish_and_Shellfish_Products;herring
Finfish_and_Shellfish_Products;ling
Finfish_and_Shellfish_Products;lingcod
Finfish_and_Shellfish_Products;mackerel
Finfish_and_Shellfish_Products;milkfish
Finfish_and_Shellfish_Products;monkfish
Finfish_and_Shellfish_Products;mullet
Finfish_and_Shellfish_Products;ocean perch
Finfish_and_Shellfish_Products;pout
Finfish_and_Shellfish_Products;perch
