CHEMISTRY OF MATERIALS	8.354
ANNALS OF SURGERY	8.327
THORAX	8.29
NEUROLOGY	8.286
FISH AND FISHERIES	8.258
GONDWANA RESEARCH	8.235
CELL DEATH AND DIFFERENTIATION	8.184
Geochemical Perspectives	8.143
DIABETES	8.095
GLOBAL CHANGE BIOLOGY	8.044
Theranostics	8.022
GREEN CHEMISTRY	8.02
Laser & Photonics Reviews	8.008
Obesity Reviews	7.995
BRITISH JOURNAL OF PSYCHIATRY	7.991
BRITISH JOURNAL OF PSYCHIATRY	7.991
BMC BIOLOGY	7.984
ENVIRONMENTAL HEALTH PERSPECTIVES	7.977
PSYCHOLOGICAL REVIEW	7.972
PSYCHOLOGICAL REVIEW	7.972
AUTOIMMUNITY REVIEWS	7.933
CLINICAL CHEMISTRY	7.911
CLINICAL PHARMACOLOGY & THERAPEUTICS	7.903
Clinical Gastroenterology and Hepatology	7.896
EARTH-SCIENCE REVIEWS	7.885
CURRENT OPINION IN PLANT BIOLOGY	7.848
BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER	7.845
QUARTERLY REVIEWS OF BIOPHYSICS	7.81
ADVANCES IN COLLOID AND INTERFACE SCIENCE	7.776
Academy of Management Annals	7.769
ARTHRITIS AND RHEUMATISM	7.764
Seminars in Immunopathology	7.748
CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY	7.714
MASS SPECTROMETRY REVIEWS	7.709
JOURNAL OF CONTROLLED RELEASE	7.705
NEW PHYTOLOGIST	7.672
ChemSusChem	7.657
EUROPEAN RESPIRATORY JOURNAL	7.636
CANCER TREATMENT REVIEWS	7.588
PROGRESS IN PHOTOVOLTAICS	7.584
CURRENT OPINION IN GENETICS & DEVELOPMENT	7.574
PLoS Pathogens	7.562
PLoS Genetics	7.528
PHYSICAL REVIEW LETTERS	7.512
Optometry-Journal of the American Optometric Association	7.5
CHEST	7.483
CURRENT OPINION IN IMMUNOLOGY	7.478
Physics of Life Reviews	7.478
ACADEMY OF MANAGEMENT REVIEW	7.475
Journal of Physical Chemistry Letters	7.458
Journal of Materials Chemistry A	7.443
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT	7.441
APPLIED CATALYSIS B-ENVIRONMENTAL	7.435
JOURNAL OF PATHOLOGY	7.429
ARCHIVES OF NEUROLOGY	7.419
ANTIOXIDANTS & REDOX SIGNALING	7.407
Nanoscale	7.394
Mucosal Immunology	7.374
Social Cognitive and Affective Neuroscience	7.372
Social Cognitive and Affective Neuroscience	7.372
ACTA NUMERICA	7.364
JACC-Cardiovascular Interventions	7.345
PSYCHOLOGICAL METHODS	7.338
GENETICS IN MEDICINE	7.329
BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY	7.316
Journal of Cachexia Sarcopenia and Muscle	7.315
JAMA Neurology	7.271
JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY	7.26
JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY	7.26
BMC Medicine	7.249
Conservation Letters	7.241
PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY	7.237
CANCER AND METASTASIS REVIEWS	7.234
JOURNAL OF INVESTIGATIVE DERMATOLOGY	7.216
INTENSIVE CARE MEDICINE	7.214
CURRENT OPINION IN STRUCTURAL BIOLOGY	7.201
JACC-Cardiovascular Imaging	7.188
CRITICAL REVIEWS IN BIOTECHNOLOGY	7.178
JAMA Pediatrics	7.148
CURRENT OPINION IN BIOTECHNOLOGY	7.117
Particle and Fibre Toxicology	7.113
PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES	7.055
NEUROPSYCHOPHARMACOLOGY	7.048
ANNALS OF ONCOLOGY	7.04
FRONTIERS IN NEUROENDOCRINOLOGY	7.037
INTERNATIONAL REVIEWS IN PHYSICAL CHEMISTRY	7.034
Nano Research	7.01
Advances in Organometallic Chemistry	7
ECOLOGICAL MONOGRAPHS	6.98
PLANT CELL AND ENVIRONMENT	6.96
CLINICAL PSYCHOLOGY REVIEW	6.932
JOURNAL OF CATALYSIS	6.921
RADIOLOGY	6.867
PLANT PHYSIOLOGY	6.841
NEUROSCIENTIST	6.837
CHEMICAL COMMUNICATIONS	6.834
JOURNAL OF BONE AND MINERAL RESEARCH	6.832
CURRENT OPINION IN CHEMICAL BIOLOGY	6.813
JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY	6.807
IEEE Communications Surveys and Tutorials	6.806
mBio	6.786
Journal of Molecular Cell Biology	6.771
AMERICAN JOURNAL OF CLINICAL NUTRITION	6.77
METABOLIC ENGINEERING	6.767
Advances in Genetics	6.76
EMERGING INFECTIOUS DISEASES	6.751
ACS Applied Materials & Interfaces	6.723
PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW	6.692
DRUG DISCOVERY TODAY	6.691
DIABETOLOGIA	6.671
EPIDEMIOLOGIC REVIEWS	6.667
QUARTERLY JOURNAL OF ECONOMICS	6.654
JOURNAL OF HEART AND LUNG TRANSPLANTATION	6.65
CHEMISTRY & BIOLOGY	6.645
CURRENT OPINION IN NEUROBIOLOGY	6.628
PROGRESS IN SOLID STATE CHEMISTRY	6.6
MOLECULAR & CELLULAR PROTEOMICS	6.564
Molecular Neurodegeneration	6.563
Methods in Ecology and Evolution	6.554
GLOBAL ECOLOGY AND BIOGEOGRAPHY	6.531
EUROPEAN JOURNAL OF HEART FAILURE	6.526
STEM CELLS	6.523
International Journal of Neural Systems	6.507
IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS	6.498
MOLECULAR ECOLOGY	6.494
HYPERTENSION	6.48
TRAC-TRENDS IN ANALYTICAL CHEMISTRY	6.472
Annual Review of Public Health	6.469
Annual Review of Public Health	6.469
DEVELOPMENT	6.462
JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY	6.459
JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY	6.459
CRITICAL REVIEWS IN SOLID STATE AND MATERIALS SCIENCES	6.45
ACADEMY OF MANAGEMENT JOURNAL	6.448
Aging-US	6.432
NEW ASTRONOMY REVIEWS	6.429
Nanotoxicology	6.411
BIOSENSORS & BIOELECTRONICS	6.409
HUMAN MOLECULAR GENETICS	6.393
REMOTE SENSING OF ENVIRONMENT	6.393
ORGANIC LETTERS	6.364
DIABETES OBESITY & METABOLISM	6.36
Oncotarget	6.359
NEUROIMAGE	6.357
JOURNAL OF NEUROSCIENCE	6.344
AGING CELL	6.34
Molecular Plant	6.337
JOURNAL OF MEDICAL GENETICS	6.335
Biochimica et Biophysica Acta-Gene Regulatory Mechanisms	6.332
CRITICAL CARE MEDICINE	6.312
Annual Review of Food Science and Technology	6.289
SPACE SCIENCE REVIEWS	6.283
Science Signaling	6.279
Reviews of Physiology Biochemistry and Pharmacology	6.273
OncoImmunology	6.266
SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY	6.265
MAYO CLINIC PROCEEDINGS	6.262
PSYCHOLOGICAL INQUIRY	6.25
CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE	6.235
Journal of Crohns & Colitis	6.234
Health Psychology Review	6.233
MOLECULAR THERAPY	6.227
Advances in Parasitology	6.226
FUNGAL DIVERSITY	6.221
IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART B-CYBERNETICS	6.22
Circulation-Cardiovascular Interventions	6.218
JOURNAL OF POWER SOURCES	6.217
CLADISTICS	6.217
MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH	6.213
JOURNAL OF CLINICAL ENDOCRINOLOGY & METABOLISM	6.209
TRENDS IN PARASITOLOGY	6.204
ENVIRONMENTAL MICROBIOLOGY	6.201
EPIDEMIOLOGY	6.196
EPIDEMIOLOGY	6.196
CARBON	6.196
MODERN PATHOLOGY	6.187
JOURNAL OF NUCLEAR MEDICINE	6.16
Polymer Reviews	6.156
Nanomedicine-Nanotechnology Biology and Medicine	6.155
OPHTHALMOLOGY	6.135
PHYSICS LETTERS B	6.131
LAB ON A CHIP	6.115
JOURNAL OF HIGH ENERGY PHYSICS	6.111
AMERICAN PSYCHOLOGIST	6.1
NUTRITION REVIEWS	6.076
JOURNAL OF MANAGEMENT	6.071
Current Opinion in Virology	6.064
JOURNAL OF INTERNAL MEDICINE	6.063
Biotechnology for Biofuels	6.044
Cochrane Database of Systematic Reviews	6.032
GLIA	6.031
ALLERGY	6.028
Acta Biomaterialia	6.025
CRITICAL REVIEWS IN MICROBIOLOGY	6.02
Wiley Interdisciplinary Reviews-RNA	6.019
IEEE TRANSACTIONS ON POWER ELECTRONICS	6.008
ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY	6
JOURNAL OF INFECTIOUS DISEASES	5.997
ASTROPHYSICAL JOURNAL	5.993
ARCHIVES OF TOXICOLOGY	5.98
PLANT JOURNAL	5.972
HUMAN BRAIN MAPPING	5.969
GENETICS	5.963
Advances in Immunology	5.962
CANADIAN MEDICAL ASSOCIATION JOURNAL	5.959
CARDIOVASCULAR RESEARCH	5.94
PSYCHOLOGICAL MEDICINE	5.938
PSYCHOLOGICAL MEDICINE	5.938
TOBACCO CONTROL	5.933
TOBACCO CONTROL	5.933
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL	5.929
RENEWABLE & SUSTAINABLE ENERGY REVIEWS	5.901
AMERICAN JOURNAL OF KIDNEY DISEASES	5.9
CURRENT OPINION IN MICROBIOLOGY	5.9
Annual Review of Environment and Resources	5.892
Annual Review of Environment and Resources	5.892
Circulation-Heart Failure	5.891
BRAIN BEHAVIOR AND IMMUNITY	5.889
ANESTHESIOLOGY	5.879
Advances In Atomic Molecular and Optical Physics	5.875
JOURNAL OF PSYCHIATRY & NEUROSCIENCE	5.861
JOURNAL OF PSYCHIATRY & NEUROSCIENCE	5.861
IEEE SIGNAL PROCESSING MAGAZINE	5.852
